company,date,location,market,channel,product_category,total_sale_amount
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-30,Worcester,medium sized business,business-to-consumer,story books,3145.86
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-20,Carlisle,large businesses,business-to-consumer,remote controlled cars,392.96
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-24,Leicester,small business,business-to-consumer,torch,199.8
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-28,Dundee,small business,business-to-consumer,glassware,392.32
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-07,Oxford,large businesses,business-to-consumer,desks,2896.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-07-04,Newport,large businesses,business-to-consumer,video games,3491.32
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-21,Portsmouth,medium sized business,business-to-consumer,long life food,627.09
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-14,Armag,small business,business-to-consumer,camping tent,1673
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-22,Coventry,large businesses,business-to-consumer,badminton,2458.89
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-18,Portsmouth,small business,business-to-consumer,mats and rugs,1503.25
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-25,Chichester,medium sized business,business-to-consumer,mats and rugs,1046.46
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-22,St Asaph (Llanelwy),small business,business-to-consumer,dolls,45.3
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-26,London,medium sized business,business-to-consumer,televisions,481.14
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-25,Exeter,small business,business-to-consumer,hiking boots,882.05
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-06,Truro,medium sized business,business-to-consumer,laptops,982.88
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-03,Sheffield,medium sized business,business-to-consumer,football,2159.08
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-07,Bristol,large businesses,business-to-consumer,football,688.4
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-29,Belfast,medium sized business,business-to-consumer,basketball,2910.5
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-25,Worcester,large businesses,business-to-consumer,mats and rugs,650.75
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-16,Armag,small business,business-to-consumer,remote controlled cars,1074.09
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-20,St Davids,small business,business-to-business,labouring,1375.64
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-01,Chelmsford,medium sized business,business-to-business,accounting,4015.89
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-18,Bath,small business,business-to-business,accounting,1036.77
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-03,Exeter,large businesses,business-to-business,hardware,843.34
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-19,Birmingham,large businesses,business-to-business,technology implementation,1068.48
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-18,St Asaph (Llanelwy),small business,business-to-business,hardware,1483.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-17,Hereford,large businesses,business-to-business,office supplies,1236.7
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-29,Ripon,small business,business-to-business,plastic,4217.67
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-20,Londonderry,medium sized business,business-to-business,legal,916.32
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-19,Dundee,medium sized business,business-to-business,plastic,397.64
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-30,Preston,large businesses,business-to-business,IT services,105.39
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-27,St Asaph (Llanelwy),large businesses,business-to-business,plastic,585.4
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-29,Salisbury,large businesses,business-to-business,IT services,168.97
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-07,Gloucester,medium sized business,business-to-business,IT services,1046.25
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-12,Ripon,large businesses,business-to-business,office supplies,3014.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-17,Nottingham,small business,business-to-business,accounting,631.15
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-30,Hereford,medium sized business,business-to-business,hardware,790.44
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-16,Lichfield,large businesses,business-to-business,masonry materials,327.95
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-29,Truro,medium sized business,business-to-business,electronics,415.81
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-10,Norwich,medium sized business,business-to-business,electronics,1520.82
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-01,Kingston upon Hull,small business,business-to-business,hardware,2493.66
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-29,Worcester,medium sized business,business-to-business,electronics,570.01
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-23,Cardiff,medium sized business,business-to-business,IT services,936.32
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-25,Perth,medium sized business,business-to-business,legal,266.73
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-17,Perth,medium sized business,business-to-business,technology implementation,1320.06
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-07,Leeds,small business,business-to-business,software,835.45
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-04,Perth,large businesses,business-to-business,labouring,1266.72
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-24,Wolverhampton,medium sized business,business-to-business,accounting,433.52
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-24,Sunderland,medium sized business,business-to-business,IT services,386.08
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-20,Sheffield,medium sized business,business-to-business,IT services,1128.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-26,Peterborough,small business,business-to-business,plastic,1037.9
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-16,St Albans,small business,business-to-business,technology implementation,3652.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-30,St Albans,small business,business-to-business,hardware,1171.89
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-31,Aberdee,small business,business-to-business,IT services,417.56
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-03,Dundee,large businesses,business-to-business,technology implementation,419.58
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-24,Coventry,medium sized business,business-to-business,plastic,2475.7
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-08,Wakefield,small business,business-to-business,legal,227.24
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-21,Canterbury,medium sized business,business-to-business,technology implementation,605.64
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-28,Dundee,medium sized business,business-to-business,metals,205.52
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-08,Dundee,small business,business-to-business,legal,3208.1
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-08,Wolverhampton,large businesses,business-to-business,plastic,1266.32
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-27,Gloucester,large businesses,business-to-business,plastic,2339.64
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-09,Belfast,medium sized business,business-to-business,software,1361.99
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-29,Edinburgh,medium sized business,business-to-business,accounting,3212.55
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-04,Stirling,large businesses,business-to-business,office supplies,1179.92
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-24,Plymouth,medium sized business,business-to-business,accounting,818.64
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-06,Lincoln,medium sized business,business-to-business,accounting,103.69
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-06,Leicester,large businesses,business-to-business,technology implementation,2933.6
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-29,Chelmsford,large businesses,business-to-business,metals,1243.34
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-15,Sheffield,small business,business-to-business,labouring,877.24
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-13,Lichfield,large businesses,business-to-business,legal,2255.47
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-11,Chichester,medium sized business,business-to-business,technology implementation,276.88
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-20,Bristol,small business,business-to-business,labouring,1834.44
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-24,Birmingham,medium sized business,business-to-business,software,2497.8
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-13,Newry,medium sized business,business-to-business,metals,227.78
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-07,Bath,medium sized business,business-to-business,office supplies,983.07
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-24,Coventry,medium sized business,business-to-business,metals,31.88
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-05,Cambridge,small business,business-to-business,office supplies,986.16
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-18,Oxford,medium sized business,business-to-business,technology implementation,3767.6
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-10,Chichester,large businesses,business-to-business,office supplies,3053.54
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-16,Salford,small business,business-to-business,masonry materials,667.45
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-01,Lincoln,small business,business-to-business,IT services,3097.43
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-01,Hereford,small business,business-to-business,accounting,572.65
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-07,Peterborough,small business,business-to-business,electronics,646.8
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-12,Exeter,small business,business-to-business,IT services,365.14
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-26,Perth,large businesses,business-to-business,accounting,1100.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-07-04,Wells,medium sized business,business-to-business,hardware,437.92
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-13,Belfast,large businesses,business-to-business,office supplies,122.46
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-06,Peterborough,large businesses,business-to-business,accounting,1520.82
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-03,Brighton and Hove,small business,business-to-business,accounting,501.08
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-05,Sheffield,medium sized business,business-to-business,technology implementation,11.8
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-18,Bango,medium sized business,business-to-business,metals,1288.62
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-15,Westminster,medium sized business,business-to-business,software,287.65
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-08,Belfast,large businesses,business-to-business,metals,341.67
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-17,Southampton,large businesses,business-to-business,metals,1542
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-14,Chichester,large businesses,business-to-business,office supplies,707.67
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-19,Lancaster,small business,business-to-business,technology implementation,2042.9
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-30,St Albans,medium sized business,business-to-business,hardware,253.41
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-28,Southampton,small business,business-to-business,masonry materials,2298.66
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-12,Ely,large businesses,business-to-business,technology implementation,398.42
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-02,Chichester,small business,business-to-business,office supplies,1341.6
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-27,Wolverhampton,small business,business-to-business,legal,1705.84
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-17,Portsmouth,large businesses,business-to-business,masonry materials,406.8
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-14,York,small business,business-to-business,masonry materials,2467.78
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-19,Peterborough,medium sized business,business-to-business,metals,1242.16
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-26,Lichfield,large businesses,business-to-business,software,539.44
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-10,Norwich,large businesses,business-to-business,hardware,31.38
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-29,Worcester,large businesses,business-to-business,legal,2569
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-28,Chester,small business,business-to-business,legal,2022.16
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-17,Bradford,small business,business-to-business,software,919.5
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-25,Wincheste,small business,business-to-business,masonry materials,508
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-19,Wells,medium sized business,business-to-business,electronics,301.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-14,Lichfield,small business,business-to-business,electronics,3674.08
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-18,Brighton and Hove,small business,business-to-business,labouring,1643.64
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-25,Lancaster,small business,business-to-business,masonry materials,2584.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-11,Hereford,small business,business-to-business,masonry materials,667.68
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-16,Bango,large businesses,business-to-business,office supplies,2200.95
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-27,Portsmouth,large businesses,business-to-business,technology implementation,116.7
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-26,Wolverhampton,large businesses,business-to-business,hardware,3968.5
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-19,Preston,small business,business-to-business,office supplies,862.48
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-02,Newcastle upon Tyne,medium sized business,business-to-business,metals,519.24
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-15,Aberdee,medium sized business,business-to-business,hardware,1145.12
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-28,Leeds,large businesses,business-to-business,plastic,165.44
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-18,London,small business,business-to-business,IT services,595.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-19,Plymouth,small business,business-to-business,software,453.87
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-27,St Asaph (Llanelwy),small business,business-to-business,electronics,10.88
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-23,Sheffield,large businesses,business-to-business,IT services,2732.94
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-28,Wincheste,small business,business-to-business,technology implementation,2628.57
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-29,Stoke-on-Trent,large businesses,business-to-business,metals,2058.2
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-27,Brighton and Hove,large businesses,business-to-business,hardware,1488.68
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-16,Gloucester,medium sized business,business-to-business,metals,1249.3
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-13,Stirling,large businesses,business-to-business,accounting,572.79
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-07,Norwich,large businesses,business-to-business,accounting,1677.36
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-01,Bradford,large businesses,business-to-business,electronics,12.99
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-05,Bath,small business,business-to-business,legal,690.12
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-02-16,St Albans,medium sized business,business-to-business,legal,3109.44
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-29,Cardiff,small business,business-to-business,office supplies,2089.84
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-15,Newry,medium sized business,business-to-business,masonry materials,1044.6
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-15,Oxford,medium sized business,business-to-business,hardware,230.65
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-27,Canterbury,large businesses,business-to-business,plastic,335.95
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-30,Leeds,large businesses,business-to-business,hardware,1213.36
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-21,Durham,medium sized business,business-to-business,hardware,3489.39
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-05-11,Chester,medium sized business,business-to-business,IT services,308.88
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-01,St Davids,small business,business-to-business,metals,2531.34
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-30,Derby,large businesses,business-to-business,technology implementation,3581.68
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-06-01,Glasgow,small business,business-to-business,accounting,507.75
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-03-22,Chester,large businesses,business-to-business,labouring,349.77
0b466a81-1df4-4799-9d0e-f472513c0c64,2021-04-23,Norwich,small business,business-to-business,accounting,2301.18
ab26de37-713d-42d5-b20d-3a769d43da67,2021-05-10,Westminster,medium sized business,business-to-consumer,inflatable pool,347.45
ab26de37-713d-42d5-b20d-3a769d43da67,2021-02-05,Peterborough,small business,business-to-consumer,mats and rugs,3010.56
ab26de37-713d-42d5-b20d-3a769d43da67,2021-05-07,Gloucester,large businesses,business-to-consumer,ebooks,903.56
ab26de37-713d-42d5-b20d-3a769d43da67,2021-05-27,Truro,medium sized business,business-to-consumer,torch,567.52
ab26de37-713d-42d5-b20d-3a769d43da67,2021-05-29,Londonderry,medium sized business,business-to-consumer,holdall bags,1105.5
ab26de37-713d-42d5-b20d-3a769d43da67,2021-02-11,Bath,small business,business-to-consumer,badminton,860.04
ab26de37-713d-42d5-b20d-3a769d43da67,2021-02-06,Sunderland,small business,business-to-consumer,cricket,2096.1
